10 News WTSP,5658,568148832,ios
11Alive,5665,461033172,ios
12 News KPNX,5622,953992180,ios
12News Now - KBMT & K-JAC,5677,419611089,ios
12News Now - KBMT & K-JAC,5677,446226528,ios
13 WMAZ,5653,467460140,ios
1Weather PSM,6758,1044809694,ios
365 Scores,5922,571801488,ios
9Gag,4870,com-9gag-ios-mobile.app,android
9Gag,4870,545551605,ios
9NEWS,5626,568147279,ios
ABC10,5631,469397853,ios
AL,4990,549484884,ios
AL,4990,419876008,ios
AL,4990,548295291,ios
Ab Workouts,6269,860332805,ios
Accuweather App,6873,300048137,ios
Associated Press,1218,364677107,ios
Bacon Reader PSM,6757,725730936,ios
Bloomberg,1066,281941097,ios
Butt Workouts,6270,869170275,ios
CBS - EBDA,4915,530168168,ios
CBS News - EBDA,4917,334256223,ios
CBS Sports - EBDA,4918,307184892,ios
CNET - EBDA,4920,383989837,ios
Daily Mail,376,384101264,ios
Dictionary.com,2868,308750436,ios
ESi Media,2997,542140360,ios
ET Online - EBDA,4924,307544289,ios
Famous Birthdays,3899,646707938,ios
Fantasy Sports - EBDA,5061,658308834,ios
Fichajes,5751,566521169,ios
First Coast News,5657,469738478,ios
Flipboard,3666,358801284,ios
Footmercato,5725,537919329,ios
Fussball Transfers,5740,587802106,ios
Gala,5840,524329849,ios
GasBuddy Organization Inc.,3690,406719683,ios
Girly Wallpapers & Backgrounds,6346,1108375300,ios
Give Me Sport,2105,1271388300,ios
Golfweek,4421,699728318,ios
Hearst Television,5065,505514957,ios
Hearst Television,5065,504646663,ios
Hearst Television,5065,506053781,ios
Hearst Television,5065,505500141,ios
Hearst Television,5065,506060763,ios
Hearst Television,5065,506071794,ios
Hearst Television,5065,505978863,ios
Hearst Television,5065,505215818,ios
Hearst Television,5065,505244949,ios
Hearst Television,5065,505581274,ios
Hearst Television,5065,505246892,ios
Hearst Television,5065,505554182,ios
Hearst Television,5065,501410335,ios
Hearst Television,5065,505175161,ios
Hearst Television,5065,505486083,ios
Hearst Television,5065,505982816,ios
Hearst Television,5065,505577798,ios
Hearst Television,5065,505254249,ios
Hearst Television,5065,505569365,ios
Hearst Television,5065,506139759,ios
Hearst Television,5065,505507641,ios
Hearst Television,5065,505481301,ios
Hearst Television,5065,505232685,ios
High Intensity HIIT Workouts,6347,891535485,ios
IM League,6745,com.imleagues.ios.host.nd,android
IM League,6745,1402949583,ios
IM League,6745,1408348876,ios
IM League,6745,1259009536,ios
KARE 11,5604,568147907,ios
KCEN 6,5680,419606501,ios
KENS 5,5610,408263139,ios
KGW News,5612,404245042,ios
KGW News,5612,439056028,ios
KHOU 11,5607,449671874,ios
KHOU 11,5607,408260229,ios
KIII-TV 3News,5674,470527324,ios
KING 5,5618,408263192,ios
KREM 2 News,5615,409474974,ios
KSDK 5,5616,568136681,ios
KTHV Little Rock,6191,396659191,ios
KTVB,5624,401142659,ios
KUSA Denver,6193,376413715,ios
KVUE NEWS,5628,408263295,ios
KVUE NEWS,5628,502879578,ios
KWES,6776,1453204125,ios
KXTV Sacramento,6192,376390360,ios
KYTX,5676,384290576,ios
KYTX,5676,380134475,ios
MLB App,5582,493619333,ios
MMA Junkie,813,876544448,ios
Marmiton,5686,318796083,ios
MaxPreps - EBDA,4930,980665604,ios
